Input Sample	Adipocytes	aNSCs	Astrocytes	Endothelial_cells	Erythrocytes	Granulocytes	Macrophages	Microglia	Monocytes	Neurons	NK_cells	NPCs	Oligodendrocytes	qNSCs	T_cells	Cardiomyocytes	Hepatocytes	B_cells	Cardiac_Fibroblasts	Dermal_Fibroblasts	Ependymal	P-value	Pearson Correlation	RMSE
3m1	0.0098545861323122	0	0.18766766677577	0.0014937942902734	0	0.0002	0	0.0079868234884924	0.0035291862637233	0.61572172351539	0.0010167987893786	0.11600487716839	0.04922567601777	0	0	0	0	0.0008	0	0.0054358463871648	0.0010502276064923	0	0.5558794959106935	0.8648843008862239
3m2	0.012259663031402	0	0.22243580402671	0.0020635145586429	0.0008	0.0002	0	0.013646748828103	0.0024669501257924	0.58218671688435	0.0009	0.1092772975823	0.044330862904026	0	0	0	0	0.0009	0	0.0076353280414875	0.001	0	0.5494929893790628	0.868748495590954
3m3	0.010673336601268	0	0.21285021046068	0.0022842607859554	0.0009	0.0003	0	0.0096984486891808	0.004764100014526	0.57551115196283	0.001	0.14634821413297	0.026854584088222	0	0	0	0	0.0008	0	0.007259129997823	0.0007	0	0.534104418861337	0.876579603468377
12m1	0.010388486431235	0	0.20788423279278	0.0036513422539225	0.0008	0.0002	0	0.012185591465208	0.001182991846434	0.62153378778631	0.0008	0.089721036042173	0.044709081404617	0	0	0	0	0.0007	0	0.0055909192334477	0.0007	0	0.543598936418845	0.8689703369328039
12m2	0.0094754615697466	0	0.18985175595406	0	0.0011183200668176	0.0003	0	0.015978428654199	0.005399110916422	0.63391960611328	0.001	0.08700485672582	0.046038057178238	0	0	0	0	0.0008	0	0.0083389160098338	0.0008	0	0.5159847572349886	0.8794606422524447
29m1	0.0099585658198437	0	0.18774863116361	0.003776627122023	0.0008	0	0	0.017115886396973	0.0017461575503284	0.64402485416455	0.0006	0.087276382810285	0.03969180446307	0	0	0	0	0.0008	0	0.0059495587146284	0.0005	0	0.5302993536073622	0.871914997394621
29m2	0.011203927330471	0	0.19363749497934	0.0057350143429671	0.0007	0	0	0.018653582341548	0.001319417530939	0.6319086601498	0.0010383784510235	0.081889342806124	0.045022828697274	0	0	0	0	0.001	0	0.0075948908849892	0.0004	0	0.526910879763158	0.8722409361466325
29m3	0.0093907127258211	0	0.19817035044788	0.0058736369994992	0.0009	0	0	0.014032388259783	0.0015878492103787	0.61168379642993	0.0009	0.10653348411084	0.043013604656357	0	0	0	0	0.0009	0	0.0065064448956601	0.0006	0	0.5482883006477689	0.86484535959246
