NAME	aNSCs	Astrocytes	Brown_adipocytes	Cardiac_fibroblasts	Dermal_fibroblasts	Endothelial_cells	Erythrocytes	Granulocytes	Macrophages	Microglia	Monocytes	Neurons	Neutrophils	NK_cells	NPCs	Oligodendrocytes	qNSCs	Plasma_cells	T_cells	White_adipocytes	Cardiomyocytes	Hepatocytes	B_cells	
Car4	22.271632306661555	36.4567887160311	29.849668526509703	16.343555026580454	12.538640937968701	5072.991597188604	12.538640937968701	12.538640937968701	12.538640937968701	17.220324439639903	12.538640937968701	84.69465718610616	44.6692191886347	12.538640937968701	15.276188180734604	25.4343795224718	18.1397587779231	12.538640937968701	12.538640937968701	68.30245693275279	95.45094665629472	12.538640937968701	12.538640937968701	
Car5b	12.538640937968701	74.0251109274595	936.2586662939675	57.31975367025436	85.08862301437641	75.61901478380733	16.041608114278553	12.538640937968701	43.58272304301239	22.23725157556855	12.538640937968701	35.410212321668894	19.825302002308753	164.00035911699206	21.661387678177203	29.56766676097859	117.36649589797949	53.5491905303986	18.2720937560591	724.5176620879245	19.19264113873275	20.90381149896175	16.238253672862953	
Card11	12.538640937968701	12.538640937968701	12.538640937968701	14.650070164540253	12.538640937968701	14.698627524751203	65.4165033768497	26.867667114139593	37.25202273601834	80.93296932127046	60.54261473384389	12.538640937968701	40.6335785350335	265.493616865815	14.8156555533566	17.822021184631094	14.1713108423457	269.59279189324513	302.73472630298124	23.607075657062303	12.538640937968701	12.538640937968701	775.2975776409367	
Caskin1	77.98506588703572	2280.3080788850193	21.123562787778358	61.3075719065271	16.442394870977797	34.485772056594996	12.538640937968701	12.538640937968701	12.538640937968701	71.28496112277062	12.538640937968701	462.88402113221514	13.77785408558125	12.538640937968701	62.27236731591589	186.60481248323407	197.34871490313407	23.03221094509901	12.538640937968701	26.848495528208403	65.41004186213192	19.733672501347396	13.883909745074149	
Casq1	24.54991690449575	54.34549250631359	22.449658907400302	33.38025677527731	19.471086121350393	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	36.445243573655354	13.39209060747655	12.538640937968701	28.785127807640894	29.56766676097859	46.15869339967064	14.609471153020102	12.538640937968701	23.2314860862404	1178.3781952289096	15.7658666140549	12.538640937968701	
Casq2	12.538640937968701	30.0618063891043	26.564815632875643	92.71743970961862	16.082860500871604	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	20.781338043498245	12.538640937968701	12.538640937968701	21.297116496080605	15.5199472866387	12.538640937968701	12.538640937968701	12.538640937968701	32.695355302276994	5272.486885155766	12.538640937968701	12.538640937968701	
Cav1	17.00861717846125	41.7392947960884	3214.758587126395	884.032758626229	1026.5405851977005	2157.4027125459415	12.538640937968701	12.538640937968701	53.650017514233305	19.731296634056847	12.538640937968701	23.227320293069695	21.05887746722035	12.538640937968701	32.48614043397951	47.33857147877671	21.851597334759102	12.538640937968701	12.538640937968701	5419.1403688324735	627.326941858885	38.41800148912785	20.276609480631443	
Cbfa2t3	29.140382362128896	20.603408921587498	19.736825489525003	23.715428501259503	12.538640937968701	424.8477140844734	1325.28973726202	174.57366400752903	452.98245653952586	493.25779468829455	2030.0735687443905	132.27850355446003	231.2559019199586	729.5875973344432	18.0462782618694	21.619233511473404	12.538640937968701	202.47432964857197	37.3617290787481	39.64519375235354	152.81522156340696	16.5056723306436	571.5513925657441	
Cbs	286.9376973606476	1705.4045102225798	22.7812994725683	31.9923694119298	16.082860500871604	16.672898408151603	12.538640937968701	12.538640937968701	12.538640937968701	30.032451293444247	12.538640937968701	33.221969626690054	22.6062945015767	12.538640937968701	73.4347659211814	42.63998086237029	399.27449166195186	15.561115129781303	12.538640937968701	72.02416933146185	12.538640937968701	367.12480263214263	12.538640937968701	
Ccdc109b	12.538640937968701	12.538640937968701	30.038562442877904	47.95973336252735	70.92134656817795	26.101168246954046	24.245890469975095	50.62927256246962	205.15252191178143	20.519082937006697	787.6939666947907	19.250625312926903	42.54110337858609	19.207219916401108	25.580386915977293	15.5199472866387	12.538640937968701	18.260347830443703	59.1082620386389	33.0617192931784	17.872025665644806	18.124259603634602	13.882349218995047	
Ccdc141	20.7850323520998	1044.90301325512	38.096052328655205	38.736184247590245	34.868001282995706	1848.7785290209345	21.9831440007422	12.538640937968701	13.80542278388985	20.38051613913545	12.538640937968701	46.861508646167806	15.6330513317306	12.538640937968701	197.45516781116794	19.9020501050684	334.4027085035233	29.6323039527477	12.538640937968701	40.49780436011349	665.2426720858587	76.11381393847952	21.331555203493103	
Ccdc3	12.538640937968701	57.04590802739969	464.3135474566396	17.010590977753253	21.5110332427109	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	18.9175441181927	12.538640937968701	48.2387019876713	13.39209060747655	12.538640937968701	15.9257838887443	21.619233511473404	12.538640937968701	12.538640937968701	12.538640937968701	345.6301148065984	12.538640937968701	13.99487441663305	12.538640937968701	
Ccdc80	193.15064182402244	314.02342520332115	1282.7749807787504	2113.544003692776	5878.034990090998	18.640426376279045	12.538640937968701	97.98159565966782	18.880158770564748	29.296789482596303	19.7602655171359	56.047028680425555	120.29532827780602	20.244517889448804	27.60618690437249	22.4255800650509	452.82586961463085	12.538640937968701	12.538640937968701	2916.5648834874037	394.44270593210564	17.256783118100756	15.099114417214	
Ccl2	12.538640937968701	12.538640937968701	106.06629277892335	5278.201647646949	43.955172676887095	12.538640937968701	12.538640937968701	12.538640937968701	29.97999070474795	33.081939853882844	49.0599232304193	14.82582277181455	16.165788652398852	12.538640937968701	20.59197323079229	17.9563353566106	12.538640937968701	12.538640937968701	12.538640937968701	84.13213258774222	40.85548502795895	1193.0985594223093	12.538640937968701	
Ccl3	12.538640937968701	12.538640937968701	19.2221661969602	17.662918096095503	12.538640937968701	12.538640937968701	16.565608097733453	51.996128934586494	52.052287331805545	86.21533397931347	89.5969865930598	12.538640937968701	173.99509956695945	552.2864112555476	12.538640937968701	26.147926544212794	12.538640937968701	12.538640937968701	19.748907918117403	25.65804240650445	14.1728119767775	16.9870199489985	15.051820721068248	
