Input Sample,Adipocytes,aNSCs,Astrocytes,Endothelial_cells,Erythrocytes,Granulocytes,Macrophages,Microglia,Monocytes,Neurons,NK_cells,NPCs,Oligodendrocytes,qNSCs,T_cells,Cardiomyocytes,Hepatocytes,B_cells,Cardiac_Fibroblasts,Dermal_Fibroblasts,Ependymal,P-value,Pearson Correlation,RMSE
3m1,0.11866752521189,0.03026862019944,0.012102917788215,0,0,0,0,0.0076715448677138,0.0070224679985825,0,0.0003,0,0,0,0,0,0.79021363259501,0.0013114737413279,0,0.014734069733778,0.017660416219317,0.01,0.24434053239460168,1.098436590013233
3m2,0.11913782942197,0.031033153836353,0.0130620823373,0,0,0,0,0.010380945697796,0.007837593169218,0,0,0,0,0,0,0,0.77744875576514,0,0,0.019176550858931,0.021923088913283,0.01,0.24897886435744174,1.0795505136708858
3m3,0.11701306617118,0.025171604558247,0.014002877758106,0,0,0,0,0.0099015161463306,0.0089464099951677,0,0,0,0,0,0,0,0.78527682855909,0,0,0.021295713596828,0.018391983215046,0.01,0.2541611481579695,1.078764890641855
12m1,0.1416887061056,0.042368022570776,0.018640061271037,0,0,0,0,0.0086560822816276,0.0064232442699726,0,0.0007,0,0,0,0,0,0.75585169480931,0,0,0.0081633915191447,0.017470497563894,0.01,0.24576348094236725,1.0860546224639849
12m2,0.14301757064011,0.046520734470239,0.018802400770519,0,0,0,0,0.0081176600088087,0.0089137407339379,0,0.001,0,0,0,0,0,0.74619978892154,0,0,0.0079803328091969,0.019457331515188,0.01,0.2935983073101084,1.0479663975350504
12m3,0.12077498074116,0.047038432442106,0.014888515315917,0,0,0,0,0.0038445503379919,0.0063446502811933,0,0.0003,0,0,0,0,0,0.77624202015663,0,0,0.0070605177619087,0.023462633830689,0.01,0.24708705556119848,1.098012756539966
29m1,0.10186418586829,0.057086075237089,0.019163000593647,0,0,0,0,0.010903050350316,0.0082427232614508,0,0.0013928368046092,0,0,0,0,0,0.77416285155535,0.0034355458923853,0,0.008764775367134,0.014984955069723,0.01,0.256970423058443,1.1011839072335656
29m2,0.10951929436445,0.049384526207322,0.022796811898248,0,0,0,0,0.0092350533304517,0.0033305479559326,0,0.001054373442858,0,0,0,0,0,0.77415319011297,0.0035592450879301,0,0.0125147822218,0.01445217537804,0.01,0.28187133441979817,1.1116046033494258
29m3,0.12723033736538,0.03967532290234,0.014386537507737,0,0,0,0,0.0080801932798454,0.0099902831684334,0,0.0009,0,0,0,0,0,0.78576942538543,0,0,0.0060990709294126,0.0078779157872277,0.01,0.26455525259065066,1.0987771631843322
