Input Sample	Adipocytes	aNSCs	Astrocytes	Endothelial_cells	Erythrocytes	Granulocytes	Macrophages	Microglia	Monocytes	Neurons	NK_cells	NPCs	Oligodendrocytes	qNSCs	T_cells	Cardiomyocytes	Hepatocytes	B_cells	Cardiac_Fibroblasts	Dermal_Fibroblasts	Ependymal	P-value	Pearson Correlation	RMSE
3m1	0.0067053133164142	0	0.23009255775359	0.0049034442992484	0.0007	0.0002	0	0	0.0020505901002086	0.55295886447368	0.001235354153167	0.073721353650864	0.070936602524752	0	0	0	0.0006	0.0009	0	0.0027931706592152	0.052165118615702	0	0.5251726524878834	0.8830745873942268
3m2	0.0081026194306155	0	0.22709413359148	0.0046930416167412	0.0009	0.0003	0	0	0.0046611734385257	0.53839874673429	0.0013302907426901	0.081911393947537	0.077329193586077	0	0	0	0	0.0009	0	0.0050456955540011	0.049321922739937	0	0.5459825079592595	0.8752903340723575
3m3	0.0058681746087077	0	0.23862102804388	0.0057134892918276	0.0010133385571871	0.0002	0	0.0041991387986004	0.0017459156569735	0.55887675330878	0.0011869839703393	0.064278783587631	0.070213735617211	0	0	0	0.0007	0.001020067826175	0	0.0070171282678258	0.039347507424119	0	0.5094755881434843	0.8874690433888616
12m1	0.006578783650214	0	0.23304938872086	0.0051557667767875	0.001	0.0003	0	0.0024505211525402	0.0013977539966403	0.5915923354392	0.0011075294248475	0.051836745070331	0.05091882136991	0	0	0	0.0005	0.0009	0	0.003087592135866	0.05025440704759	0	0.5252028864889631	0.8814806139709618
12m2	0.0088642336128269	0	0.21080470776379	0.011441647163845	0.0004	0	0.0009	0.0073242189183043	0	0.58502752662756	0	0.059363077595422	0.051549747477728	0	0	0	0	0.0003	0.0003	0.0022800201401122	0.061509178435791	0	0.5299965507667331	0.8800881283437785
12m3	0.0068387132674771	0.0078375331683624	0.23880832790313	0.0070759157171993	0.0009	0.0003	0	0.0049838254441546	0.0013984727601918	0.60845559754542	0.001015148538011	0.046226393088028	0.069041000944211	0	0	0	0.0007	0.0008	0	0.003920862190132	0.0016909262720799	0	0.5178283152608478	0.882993115290913
29m1	0.0061148012823325	0	0.23594293388522	0.006873398210171	0.001	0.0003	0	0	0.0026641804541124	0.57212556563769	0.0009	0.092470908499332	0.049682319922608	0	0	0	0.0005	0.0007	0	0.0025242273287913	0.028225493720507	0	0.5439319037719319	0.8753708043969705
29m2	0.0052072357226949	0	0.23475424498908	0.0055608199166804	0.0003	0.0004	0	0.011699635961357	0.0057769657023379	0.52010892823402	0.0013086361229456	0.078506001571862	0.077133266483384	0	0	0	0.0008	0.001	0	0.0043054049654983	0.053165549255921	0	0.5283286592032461	0.8784266797121959
29m3	0.0054459046717146	0	0.23229145249736	0.0042885601161872	0.0002	0.0003	0	0.0073487182099896	0.0057807788560462	0.54485525719435	0.001398294934886	0.074318552519286	0.068283849375776	0	0	0	0.0006	0.0008	0	0.003169384060301	0.050814123799091	0	0.5297583052070457	0.8772491079472209
